,0
0,sits
1,useless
2,Dare
3,kill
4,badass
5,piss
6,mental
7,whitey
8,shoot
9,porn
10,Vine
11,lousy
12,shits
13,bitches
14,bitch
15,Shit
16,dirty
17,Shoot
18,Moby-Dick
19,crap
20,sexist
21,sex.
22,stupid.
23,bastards
24,asshole.
25,Shut
26,hates
27,Guts
28,I-hate-the-rich
29,Prick
30,nerd
31,bitch.
32,piss-soaked
33,balls
34,ridiculous
35,shitty
36,white-hot
37,butt
38,guts
39,lick
40,Hating
41,bastard.
42,fucking
43,mouth
44,cancer
45,Bitches
46,freaking
47,once-white
48,asshole
49,orders
50,jail
51,idiot
52,wet
53,Goddamn
54,brain
55,pissed.
56,sucks
57,Lame
58,assholes
59,shit.
60,Mom
61,white
62,HELL
63,Screw
64,freak
65,Fucking
66,cruel
67,drove
68,sex
69,throat
70,Dare.
71,obese
72,STA-WET
73,Day/Worst
74,coward
75,jerk
76,Hole
77,crappy
78,eat
79,bastard
80,Shame
81,frankly
82,t-rat
83,skull
84,sucked
85,dis-tu
86,lazy
87,motherfucking
88,hating
89,loser
90,smell
91,fuck
92,Sex
93,commit
94,damn
95,Damn
96,boobs
97,spit
98,so—damn
99,killed.
100,ho
101,penis
102,clouds
103,rat.
104,Hell
105,hate
106,illiterate
107,stinks
108,suck
109,vagina
110,worst
111,puke.
112,butt-flattering
113,bullshit.
114,hole
115,dick
116,knees
117,Chase—hell
118,White
119,monkeys
120,shame
121,Hole.
122,bullshit
123,ass-kicking
124,stink
125,die
126,horrible
127,gettin
128,ING
129,hell
130,pig
131,disgust
132,Nuts
133,cowardly
134,eat.
135,sexual
136,prick
137,popped
138,goddamn
139,silly
140,rat
141,ass
142,fuckers
143,bunch
144,gay
145,mom
146,nerd.
147,monkeys.
148,killed
149,fuckin
150,screw
151,disgusting
152,idiot.
153,Stupid
154,lame
155,swallow
156,Worst
157,can-still-taste-her-in-my-mouth
158,grow
159,Gosh
160,daisy-white
161,dumb
162,die.
163,sucking
164,Bunch
165,Fuck
166,pissed
167,Naughty.
168,black-and-white
169,s-a-shame
170,Damn.
171,Jew
172,dehydrated-piss-yellow
173,fat
174,ass.
175,penises
176,pretentious
177,stupid
178,damned
179,puke
180,GODDAMN
181,redneck
182,soaking-wet
183,retarded.
184,fucked
185,Blow
186,dirty-clothes
187,Nuts.
188,blow
189,dumb-ass.
190,sick
191,again—Mom
192,shut
193,masturbating
194,shit
195,naked
