,0
0,useless
1,Isaac
2,kill
3,badass
4,piss
5,mental
6,Nazi
7,fraud
8,lunatic
9,shoot
10,porn
11,evil
12,bitch
13,Shit
14,EAT
15,Bullshit
16,aged
17,crap
18,ridiculous.
19,asses
20,bastards
21,brain—which
22,hates
23,crook
24,balls
25,ridiculous
26,shitty
27,sends
28,butt
29,mom—whether
30,pedophile
31,guts
32,CANCER
33,bastard.
34,fucking
35,mouth
36,cancer
37,weakness
38,freaking
39,slut
40,Nazis
41,brain
42,Goddamn
43,wet
44,sucks
45,dew-wet
46,ugly
47,shit.
48,Mom
49,cancer-curing
50,DUMB
51,white
52,cancer-kid
53,chambers
54,sick—I
55,Lick
56,cruel
57,cancer-ruined
58,hell.
59,drove
60,throat
61,coward
62,FREAKING
63,jerk
64,eat
65,bastard
66,frankly
67,skull
68,sucked
69,insane
70,lazy
71,smell
72,cancer.
73,douche
74,pathetic
75,MOM
76,gosh
77,damn
78,CRUEL
79,goats
80,boobs
81,BULLSHIT
82,Cancer
83,brain.
84,clouds
85,rat.
86,hate
87,suck
88,worst
89,bullshit.
90,Ridiculous
91,hole
92,knees
93,White
94,hate—she
95,brains
96,bullshit
97,die
98,horrible
99,Asshole
100,foolish
101,hell
102,disgust
103,Freaking
104,Sick
105,eat.
106,sexual
107,popped
108,goddamn
109,silly
110,ass
111,fat-
112,throat.
113,bunch
114,gay
115,mom
116,Sucks
117,misery
118,killed
119,Ignorance
120,screw
121,nuts
122,Stupid
123,Frankly
124,swallow
125,vomit
126,grow
127,sucks.
128,kid—Isaac
129,SMASH
130,SUCKS
131,pissing
132,basement.
133,white-tableclothed
134,dumb
135,Filthy
136,die.
137,garbage
138,sucking
139,die—
140,terrorists
141,pissed
142,fat
143,ass.
144,middle-aged
145,pretentious
146,stupid
147,damned
148,Isaac.
149,puke
150,KILL
151,Mom.
152,evil.
153,stupidity
154,worm
155,basement
156,expense
157,blow
158,dumb-butt
159,sick
160,useless—epically
161,shut
162,BUTT
163,mom.
164,shit
165,utter
166,naked
