School,GSR,FGR
Air Force,89,
Akron,79,76
Alabama,89,65
Alabama at Birmingham,69,42
Appalachian State,78,60
Arizona,73,55
Arizona State,86,66
Arkansas,84,57
Arkansas State,72,45
Army,88,
Auburn,80,61
Ball State,82,65
Baylor,91,69
Boise State,88,53
Boston College,92,76
Bowling Green,72,65
Brigham Young,80,59
Buffalo,86,69
California,84,76
Central Florida,82,68
Central Michigan,81,73
Charlotte,70,68
Cincinnati,86,67
Clemson,88,66
Coastal Carolina,81,63
Colorado,77,56
Colorado State,80,76
Connecticut,89,78
Duke,96,90
East Carolina,72,67
Eastern Michigan,73,59
Florida,93,37
Florida Atlantic,75,60
Florida International,75,59
Florida State,58,43
Fresno State,69,58
Georgia,59,39
Georgia Southern,64,55
Georgia State,81,70
Georgia Tech,85,70
Hawaii,73,47
Houston,68,58
Illinois,91,79
Indiana,85,62
Iowa,87,65
Iowa State,88,70
Kansas,83,57
Kansas State,93,72
Kent State,81,59
Kentucky,86,56
Liberty,67,50
Louisiana Tech,63,48
Louisiana-Lafayette,74,55
Louisiana-Monroe,83,65
Louisville,93,82
LSU,61,28
Marshall,81,66
Maryland,83,73
Massachusetts,70,61
Memphis,90,62
Miami (Fla.),78,47
Miami (Ohio),92,77
Michigan,96,79
Michigan State,84,68
Middle Tennessee,95,64
Minnesota,96,78
Mississippi,73,55
Mississippi State,74,62
Missouri,77,55
Navy,87,
Nebraska,90,65
Nevada,74,61
Nevada-Las Vegas,84,62
New Mexico,65,42
New Mexico State,83,63
North Carolina,66,55
North Carolina State,74,55
North Texas,83,62
Northern Illinois,82,63
Northwestern,97,94
Notre Dame,91,80
Ohio,91,77
Ohio State,81,53
Oklahoma,73,51
Oklahoma State,74,57
Old Dominion,70,51
Oregon,82,69
Oregon State,82,69
Penn State,87,71
Pittsburgh,93,64
Purdue,82,65
Rice,91,88
Rutgers,71,55
San Diego State,84,69
San Jose State,67,61
South Alabama,79,57
South Carolina,89,64
South Florida,79,61
Southern California,81,60
Southern Methodist,82,67
Southern Mississippi,73,56
Stanford,93,88
Syracuse,88,76
Tennessee,84,52
Texas,79,62
Texas A&M,74,54
Texas Christian,70,57
Texas State,70,54
Texas Tech,76,52
Texas-El Paso,85,63
Texas-San Antonio,83,62
Toledo,87,67
Troy,80,65
Tulane,87,76
Tulsa,69,64
UCLA,71,54
Utah,90,69
Utah State,89,68
Vanderbilt,95,77
Virginia,86,71
Virginia Tech,80,68
Wake Forest,89,75
Washington,85,56
Washington State,85,56
West Virginia,74,60
Western Kentucky,74,57
Western Michigan,74,40
Wisconsin,90,81
Wyoming,87,52
