date, Population
1950-12-31,2551000
1951-12-31,2576000
1952-12-31,2602000
1953-12-31,2628000
1954-12-31,2654000
1955-12-31,2680000
1956-12-31,2707000
1957-12-31,2734000
1958-12-31,2761000
1959-12-31,2788000
1960-12-31,2818000
1961-12-31,2854000
1962-12-31,2890000
1963-12-31,2926000
1964-12-31,2963000
1965-12-31,3000000
1966-12-31,3038000
1967-12-31,3076000
1968-12-31,3115000
1969-12-31,3155000
1970-12-31,3187000
1971-12-31,3196000
1972-12-31,3205000
1973-12-31,3214000
1974-12-31,3224000
1975-12-31,3233000
1976-12-31,3242000
1977-12-31,3252000
1978-12-31,3261000
1979-12-31,3271000
1980-12-31,3281000
1981-12-31,3294000
1982-12-31,3308000
1983-12-31,3321000
1984-12-31,3335000
1985-12-31,3349000
1986-12-31,3362000
1987-12-31,3376000
1988-12-31,3390000
1989-12-31,3404000
1990-12-31,3428000
1991-12-31,3486000
1992-12-31,3544000
1993-12-31,3604000
1994-12-31,3664000
1995-12-31,3726000
1996-12-31,3788000
1997-12-31,3852000
1998-12-31,3917000
1999-12-31,3982000
2000-12-31,4036000
2001-12-31,4051000
2002-12-31,4065000
2003-12-31,4080000
2004-12-31,4095000
2005-12-31,4110000
2006-12-31,4125000
2007-12-31,4140000
2008-12-31,4155000
2009-12-31,4170000
2010-12-31,4185000
2011-12-31,4200000
2012-12-31,4215000
2013-12-31,4230000
2014-12-31,4246000
2015-12-31,4261000
2016-12-31,4277000
2017-12-31,4292000
2018-12-31,4308000
2019-12-31,4307000
2020-12-31,4309000
2021-12-31,4315000
2022-12-31,4327000
2023-12-31,4344000
2024-12-31,4367000
2025-12-31,4396000
2026-12-31,4428000
2027-12-31,4464000
2028-12-31,4502000
2029-12-31,4541000
2030-12-31,4581000
2031-12-31,4621000
2032-12-31,4661000
2033-12-31,4701000
2034-12-31,4740000
2035-12-31,4778000
