date, Population
12/31/50,4046000
12/31/51,4246000
12/31/52,4457000
12/31/53,4678000
12/31/54,4911000
12/31/55,5154000
12/31/56,5411000
12/31/57,5679000
12/31/58,5961000
12/31/59,6256000
12/31/60,6530000
12/31/61,6696000
12/31/62,6867000
12/31/63,7043000
12/31/64,7223000
12/31/65,7408000
12/31/66,7597000
12/31/67,7791000
12/31/68,7991000
12/31/69,8195000
12/31/70,8378000
12/31/71,8484000
12/31/72,8593000
12/31/73,8702000
12/31/74,8813000
12/31/75,8926000
12/31/76,9039000
12/31/77,9155000
12/31/78,9271000
12/31/79,9389000
12/31/80,9512000
12/31/81,9642000
12/31/82,9774000
12/31/83,9908000
12/31/84,10044000
12/31/85,10181000
12/31/86,10321000
12/31/87,10462000
12/31/88,10606000
12/31/89,10751000
12/31/90,10883000
12/31/91,10973000
12/31/92,11064000
12/31/93,11154000
12/31/94,11246000
12/31/95,11339000
12/31/96,11432000
12/31/97,11526000
12/31/98,11621000
12/31/99,11717000
12/31/00,11798000
12/31/01,11834000
12/31/02,11870000
12/31/03,11906000
12/31/04,11942000
12/31/05,11978000
12/31/06,12014000
12/31/07,12050000
12/31/08,12087000
12/31/09,12123000
12/31/10,12160000
12/31/11,12197000
12/31/12,12234000
12/31/13,12271000
12/31/14,12308000
12/31/15,12345000
12/31/16,12383000
12/31/17,12420000
12/31/18,12458000
12/31/19,12448000
12/31/20,12447000
12/31/21,12459000
12/31/22,12488000
12/31/23,12534000
12/31/24,12598000
12/31/25,12678000
12/31/26,12770000
12/31/27,12872000
12/31/28,12981000
12/31/29,13094000
12/31/30,13209000
12/31/31,13325000
12/31/32,13440000
12/31/33,13554000
12/31/34,13667000
12/31/35,13778000
