date, Population
1950-12-31,12338000
1951-12-31,12510000
1952-12-31,12684000
1953-12-31,12860000
1954-12-31,13038000
1955-12-31,13219000
1956-12-31,13403000
1957-12-31,13589000
1958-12-31,13778000
1959-12-31,13969000
1960-12-31,14164000
1961-12-31,14360000
1962-12-31,14560000
1963-12-31,14763000
1964-12-31,14969000
1965-12-31,15177000
1966-12-31,15388000
1967-12-31,15602000
1968-12-31,15820000
1969-12-31,16040000
1970-12-31,16191000
1971-12-31,16129000
1972-12-31,16066000
1973-12-31,16004000
1974-12-31,15942000
1975-12-31,15880000
1976-12-31,15819000
1977-12-31,15758000
1978-12-31,15697000
1979-12-31,15636000
1980-12-31,15601000
1981-12-31,15646000
1982-12-31,15691000
1983-12-31,15736000
1984-12-31,15782000
1985-12-31,15827000
1986-12-31,15872000
1987-12-31,15918000
1988-12-31,15964000
1989-12-31,16009000
1990-12-31,16086000
1991-12-31,16253000
1992-12-31,16423000
1993-12-31,16595000
1994-12-31,16768000
1995-12-31,16943000
1996-12-31,17120000
1997-12-31,17298000
1998-12-31,17479000
1999-12-31,17661000
2000-12-31,17813000
2001-12-31,17868000
2002-12-31,17922000
2003-12-31,17977000
2004-12-31,18032000
2005-12-31,18087000
2006-12-31,18142000
2007-12-31,18198000
2008-12-31,18254000
2009-12-31,18309000
2010-12-31,18365000
2011-12-31,18421000
2012-12-31,18478000
2013-12-31,18534000
2014-12-31,18591000
2015-12-31,18648000
2016-12-31,18705000
2017-12-31,18762000
2018-12-31,18819000
2019-12-31,18805000
2020-12-31,18804000
2021-12-31,18823000
2022-12-31,18867000
2023-12-31,18937000
2024-12-31,19034000
2025-12-31,19154000
2026-12-31,19293000
2027-12-31,19448000
2028-12-31,19613000
2029-12-31,19784000
2030-12-31,19958000
2031-12-31,20132000
2032-12-31,20306000
2033-12-31,20479000
2034-12-31,20649000
2035-12-31,20817000
