date, Population
1950-12-31,4046000
1951-12-31,4246000
1952-12-31,4457000
1953-12-31,4678000
1954-12-31,4911000
1955-12-31,5154000
1956-12-31,5411000
1957-12-31,5679000
1958-12-31,5961000
1959-12-31,6256000
1960-12-31,6530000
1961-12-31,6696000
1962-12-31,6867000
1963-12-31,7043000
1964-12-31,7223000
1965-12-31,7408000
1966-12-31,7597000
1967-12-31,7791000
1968-12-31,7991000
1969-12-31,8195000
1970-12-31,8378000
1971-12-31,8484000
1972-12-31,8593000
1973-12-31,8702000
1974-12-31,8813000
1975-12-31,8926000
1976-12-31,9039000
1977-12-31,9155000
1978-12-31,9271000
1979-12-31,9389000
1980-12-31,9512000
1981-12-31,9642000
1982-12-31,9774000
1983-12-31,9908000
1984-12-31,10044000
1985-12-31,10181000
1986-12-31,10321000
1987-12-31,10462000
1988-12-31,10606000
1989-12-31,10751000
1990-12-31,10883000
1991-12-31,10973000
1992-12-31,11064000
1993-12-31,11154000
1994-12-31,11246000
1995-12-31,11339000
1996-12-31,11432000
1997-12-31,11526000
1998-12-31,11621000
1999-12-31,11717000
2000-12-31,11798000
2001-12-31,11834000
2002-12-31,11870000
2003-12-31,11906000
2004-12-31,11942000
2005-12-31,11978000
2006-12-31,12014000
2007-12-31,12050000
2008-12-31,12087000
2009-12-31,12123000
2010-12-31,12160000
2011-12-31,12197000
2012-12-31,12234000
2013-12-31,12271000
2014-12-31,12308000
2015-12-31,12345000
2016-12-31,12383000
2017-12-31,12420000
2018-12-31,12458000
2019-12-31,12448000
2020-12-31,12447000
2021-12-31,12459000
2022-12-31,12488000
2023-12-31,12534000
2024-12-31,12598000
2025-12-31,12678000
2026-12-31,12770000
2027-12-31,12872000
2028-12-31,12981000
2029-12-31,13094000
2030-12-31,13209000
2031-12-31,13325000
2032-12-31,13440000
2033-12-31,13554000
2034-12-31,13667000
2035-12-31,13778000
