Dates,Hot Springs 1,Hot Springs 2,Little Rock 1,Little Rock 2,Little Rock 3,Little Rock 4,Little Rock 5,Little Rock 6,Little Rock 7,Little Rock 8,Little Rock 9,Little Rock 10,Little Rock 11,Little Rock 12,Searcy 1,Searcy 2,Fayetteville 1,Fayetteville 2,Fayetteville 3
1/31/00,96315,62223,50684,55572,56903,73133,86661,97658,120441,131960,137635,158396,186773,243901,55702,85512,107217,113471,122787
2/29/00,96767,62575,50799,55559,57193,72465,86811,98280,120986,132734,138214,159234,188455,245583,55971,85584,107618,114051,123571
3/31/00,97553,62847,51087,55698,57297,73527,86870,98497,121172,132712,138406,159423,189321,246144,55580,85830,108128,115087,125111
4/30/00,98516,63484,51152,56096,57446,75201,87061,98798,121727,132970,138988,159891,190431,247215,55863,86233,108986,115866,126656
5/31/00,99481,64056,51700,56413,57766,76419,87190,99301,122478,133208,139669,161072,191578,248406,56363,86478,109547,116113,127460
6/30/00,100163,64732,52045,56535,58061,76100,87178,99916,122847,133579,140082,161962,192216,248692,56936,86611,110614,116436,128384
7/31/00,100647,64927,52308,56509,58287,75008,87244,100445,123422,134221,140330,162686,193019,249467,57502,86710,111795,116914,129570
8/31/00,101029,65171,52487,56891,58360,74910,87634,100833,123630,135024,140437,162982,193401,250779,57892,86881,113320,118006,131647
9/30/00,101408,65389,52636,57473,58724,76060,88148,101195,124551,135721,140785,163298,193999,252603,58095,87066,114119,118680,132934
10/31/00,101749,65508,53049,57928,59298,77477,88432,101589,124925,136102,141146,163592,194593,254139,57904,87337,115074,119431,134025
11/30/00,102204,65816,53203,58256,59849,78841,88748,102056,125753,136552,141632,163778,195554,255032,57934,87744,116484,120195,135204
12/31/00,103086,66265,53860,58693,60128,80213,89007,102370,126351,136925,141806,164112,196171,255578,57596,88286,118047,121027,136302
1/31/01,104149,66896,53689,59629,60530,80974,89551,102433,127228,137322,142093,164688,196542,255935,57837,88897,119200,121929,137280
2/28/01,104864,67226,54275,60332,60860,82468,89982,102529,127862,137722,142428,165939,196886,256800,57779,89215,119484,122564,137878
3/31/01,104969,67388,54430,60726,61367,83104,90607,102799,128372,138385,142801,167366,197460,257791,58693,89461,119616,123012,138195
4/30/01,104746,67076,55043,60730,61590,83954,91271,103213,128344,138992,143089,168409,198106,258308,59307,89699,119407,123319,138450
5/31/01,104580,67003,55343,60943,61666,85135,91788,103585,128214,139734,143196,168592,198479,258738,60105,90053,119513,123692,138940
6/30/01,104656,66803,56130,61358,61696,86921,92145,103800,128321,140250,143519,169107,199527,259782,60297,90305,119164,123719,139107
7/31/01,104744,67140,57235,61738,61723,88785,92347,103968,128488,140547,143888,170193,200378,260944,60564,90548,118975,123681,139056
8/31/01,104929,67385,58109,61762,61962,89958,92644,104044,128743,140651,144377,171919,201635,261676,60870,90770,118544,123560,138671
9/30/01,105066,67935,58694,61592,62023,91029,92973,104373,128469,141062,144714,173732,202470,262159,61424,91011,118442,123863,138902
10/31/01,105453,68378,58112,61769,62004,91260,93352,104543,128599,141684,145139,175031,203371,262382,62044,91229,118107,124151,139373
11/30/01,105854,68569,57744,62171,62076,90911,93550,104796,128413,142135,145520,176145,204082,262872,61976,91361,117679,124537,140025
12/31/01,106164,68482,56913,62362,62286,90146,93713,104893,128539,142308,146083,176919,204563,263196,61862,91450,117192,124918,140579
1/31/02,106120,68306,57743,62366,62522,91202,93723,105516,128434,142655,146626,177619,205395,264009,61610,91463,117322,125390,141176
2/28/02,106050,68290,58280,62553,62801,91457,93954,106248,128754,143145,147339,177865,206366,264608,61884,91552,118019,126016,141749
3/31/02,106050,68499,59235,62869,62814,91785,94191,106988,129201,143718,148043,177970,207677,265657,62225,91667,119045,126578,142272
4/30/02,106181,68931,59608,63113,63092,90876,94301,107465,130331,144101,148603,178204,208577,266938,62334,91804,120152,127352,142591
5/31/02,106393,69101,59473,63012,63360,89998,94436,107982,131266,144234,149142,178728,209483,268102,62131,92070,121209,128193,143077
6/30/02,106545,69266,59060,63048,63939,88945,94641,108569,132417,144560,149779,179084,209934,269182,62051,92435,122037,129103,143608
7/31/02,106841,69199,58034,63218,64384,88324,95230,109333,132899,145025,150477,179115,210374,269814,62199,92835,122613,129807,144240
8/31/02,106908,69287,57060,63598,64763,87178,95707,110205,133711,145826,151243,179198,210758,270659,62424,93093,123142,130256,144416
9/30/02,107052,69176,56303,63862,65081,85465,96262,110906,134290,146473,151921,179421,211522,271931,62184,93347,124097,130816,144667
10/31/02,107106,69235,56898,63729,65425,84404,96874,111731,134894,147164,152576,180462,212383,273375,61865,93619,125093,131457,144834
11/30/02,107339,69471,57764,63307,65725,84576,97571,112486,135429,147683,153172,181673,213417,275426,61823,93930,125836,132269,145209
12/31/02,107662,69956,58698,62897,65936,85251,98294,113281,136104,148303,153729,183181,214513,277344,61960,94188,126411,133038,145693
1/31/03,108165,70380,58607,62830,66143,85423,98637,113900,137392,148927,154295,184650,215521,279330,62038,94402,126777,133679,146217
2/28/03,108800,70796,58091,62951,66222,85590,98962,114466,138541,149590,154820,186376,216351,281086,61942,94653,127233,134214,146840
3/31/03,109607,71138,57300,63215,66444,86687,99238,115183,139603,150313,155459,188110,216965,282828,61516,94825,127494,134839,147487
4/30/03,110365,71568,57454,63686,66754,88163,99819,115901,140057,151143,156312,189753,218097,284416,61344,94945,127567,135274,148270
5/31/03,110926,72143,58205,64310,67061,89689,100522,116424,140589,152198,157153,191369,219186,286359,61412,95024,127764,136273,149389
6/30/03,111453,72718,58597,64681,67093,90818,101243,116983,140957,153047,157833,193197,220504,287984,61565,95184,128438,137655,150289
7/31/03,112055,73240,58640,65101,67040,92076,101776,117541,141860,153910,158543,195222,221850,289748,61235,95385,129509,139570,151111
8/31/03,112984,73694,58950,65296,67199,94600,102216,118260,142677,154623,159284,196799,223373,291209,60623,95650,130499,141252,152066
9/30/03,113930,74029,59523,65787,67390,97540,102285,118985,143918,155503,160269,198350,224844,292317,60648,95994,131119,142557,153095
10/31/03,114814,74363,59470,66146,67637,98840,102015,119818,145048,156382,161151,199513,226286,293722,60706,96457,131774,143482,154251
11/30/03,115591,74677,59040,66778,67682,98869,101795,120556,146361,157471,162102,201020,227598,294591,60923,96870,132717,144154,154902
12/31/03,116298,75179,58904,67491,67883,97542,101625,121399,147006,158543,162852,202136,228942,295359,60586,97230,133896,144922,155639
1/31/04,117096,75740,58991,67937,67979,97073,102457,122088,147312,159469,163684,203114,230320,296054,60515,97690,135219,145987,156518
2/29/04,117968,76289,59703,68282,68275,97421,103095,122874,147688,160358,164560,204047,231951,297068,60487,98253,136183,147124,157501
3/31/04,118884,76815,60364,68665,68669,97242,103782,123503,148296,161345,165470,205341,233612,298191,60779,98827,137168,148222,158396
4/30/04,119671,77122,60521,69047,68968,96888,103922,124280,149229,162387,166190,207079,234878,299387,61060,99307,138325,149382,159156
5/31/04,120494,77314,60454,69445,69404,96404,104186,125200,150396,163454,166948,209035,236292,300390,61421,99580,139662,150400,159744
6/30/04,121317,77510,61165,69500,69807,97617,104377,126147,151663,164813,167870,210755,237778,301989,61895,99847,141009,151380,161022
7/31/04,121971,77905,62688,69689,70571,98929,104468,127025,152735,166049,168747,212173,239339,303222,62416,100157,142258,152209,162534
8/31/04,122366,78380,63862,70069,70946,99805,104135,127791,153474,166890,169435,213385,240637,304767,62644,100392,143785,153472,164312
9/30/04,122677,79123,64473,70666,71246,100587,104188,128506,154313,167288,169909,214477,241731,305944,62229,100613,145318,154732,165712
10/31/04,123128,79783,64978,71471,71257,102648,104668,129026,155102,167336,170439,215273,242596,306975,61769,100685,146790,156466,166977
11/30/04,123366,80245,66211,72232,71622,105560,105454,129692,155698,167750,171082,215967,243538,307676,61695,100989,148089,158128,168468
12/31/04,123458,80342,67175,72990,72051,109094,106274,130347,156755,168396,171969,217109,244678,308825,62052,101415,149418,160006,170106
1/31/05,123446,80470,67951,73744,72682,111135,106460,131278,157830,169572,172992,218793,246135,310223,62416,101644,150601,161489,171546
2/28/05,123557,80762,68038,74227,73106,111954,106874,132028,158764,170441,173759,220164,247098,311645,62330,101895,152121,163038,173045
3/31/05,123769,81114,68588,74678,73433,113058,107313,132834,159314,171049,174361,221404,247944,312962,62042,102248,153535,164434,174574
4/30/05,124393,81702,68598,74970,73638,114721,108110,133597,159801,171611,174991,222188,248745,313994,61411,103092,155102,165869,176280
