date,SF Population, Boston Population, LA Population, NY Population
12/31/50,1855000,2551000,4046000,12338000
12/31/51,1887000,2576000,4246000,12510000
12/31/52,1920000,2602000,4457000,12684000
12/31/53,1953000,2628000,4678000,12860000
12/31/54,1987000,2654000,4911000,13038000
12/31/55,2021000,2680000,5154000,13219000
12/31/56,2056000,2707000,5411000,13403000
12/31/57,2091000,2734000,5679000,13589000
12/31/58,2127000,2761000,5961000,13778000
12/31/59,2164000,2788000,6256000,13969000
12/31/60,2200000,2818000,6530000,14164000
12/31/61,2231000,2854000,6696000,14360000
12/31/62,2263000,2890000,6867000,14560000
12/31/63,2295000,2926000,7043000,14763000
12/31/64,2328000,2963000,7223000,14969000
12/31/65,2361000,3000000,7408000,15177000
12/31/66,2395000,3038000,7597000,15388000
12/31/67,2429000,3076000,7791000,15602000
12/31/68,2464000,3115000,7991000,15820000
12/31/69,2499000,3155000,8195000,16040000
12/31/70,2529000,3187000,8378000,16191000
12/31/71,2541000,3196000,8484000,16129000
12/31/72,2553000,3205000,8593000,16066000
12/31/73,2565000,3214000,8702000,16004000
12/31/74,2578000,3224000,8813000,15942000
12/31/75,2590000,3233000,8926000,15880000
12/31/76,2602000,3242000,9039000,15819000
12/31/77,2615000,3252000,9155000,15758000
12/31/78,2627000,3261000,9271000,15697000
12/31/79,2640000,3271000,9389000,15636000
12/31/80,2656000,3281000,9512000,15601000
12/31/81,2685000,3294000,9642000,15646000
12/31/82,2715000,3308000,9774000,15691000
12/31/83,2745000,3321000,9908000,15736000
12/31/84,2775000,3335000,10044000,15782000
12/31/85,2805000,3349000,10181000,15827000
12/31/86,2836000,3362000,10321000,15872000
12/31/87,2867000,3376000,10462000,15918000
12/31/88,2899000,3390000,10606000,15964000
12/31/89,2930000,3404000,10751000,16009000
12/31/90,2961000,3428000,10883000,16086000
12/31/91,2987000,3486000,10973000,16253000
12/31/92,3014000,3544000,11064000,16423000
12/31/93,3041000,3604000,11154000,16595000
12/31/94,3068000,3664000,11246000,16768000
12/31/95,3095000,3726000,11339000,16943000
12/31/96,3123000,3788000,11432000,17120000
12/31/97,3151000,3852000,11526000,17298000
12/31/98,3179000,3917000,11621000,17479000
12/31/99,3207000,3982000,11717000,17661000
12/31/00,3230000,4036000,11798000,17813000
12/31/01,3235000,4051000,11834000,17868000
12/31/02,3240000,4065000,11870000,17922000
12/31/03,3246000,4080000,11906000,17977000
12/31/04,3251000,4095000,11942000,18032000
12/31/05,3256000,4110000,11978000,18087000
12/31/06,3261000,4125000,12014000,18142000
12/31/07,3267000,4140000,12050000,18198000
12/31/08,3272000,4155000,12087000,18254000
12/31/09,3277000,4170000,12123000,18309000
12/31/10,3283000,4185000,12160000,18365000
12/31/11,3288000,4200000,12197000,18421000
12/31/12,3293000,4215000,12234000,18478000
12/31/13,3298000,4230000,12271000,18534000
12/31/14,3304000,4246000,12308000,18591000
12/31/15,3309000,4261000,12345000,18648000
12/31/16,3315000,4277000,12383000,18705000
12/31/17,3320000,4292000,12420000,18762000
12/31/18,3325000,4308000,12458000,18819000
12/31/19,3318000,4307000,12448000,18805000
12/31/20,3314000,4309000,12447000,18804000
12/31/21,3313000,4315000,12459000,18823000
12/31/22,3318000,4327000,12488000,18867000
12/31/23,3328000,4344000,12534000,18937000
12/31/24,3343000,4367000,12598000,19034000
12/31/25,3363000,4396000,12678000,19154000
12/31/26,3386000,4428000,12770000,19293000
12/31/27,3413000,4464000,12872000,19448000
12/31/28,3441000,4502000,12981000,19613000
12/31/29,3471000,4541000,13094000,19784000
12/31/30,3501000,4581000,13209000,19958000
12/31/31,3532000,4621000,13325000,20132000
12/31/32,3563000,4661000,13440000,20306000
12/31/33,3593000,4701000,13554000,20479000
12/31/34,3623000,4740000,13667000,20649000
12/31/35,3652000,4778000,13778000,20817000
